Number;Identifier;Title;Author;Journal_Book;Year;Offline Explanation Acessment;Offline Explanation Metric;Number of Users;User Experiment;User Experiment Metrics;Explanation Source;Agnostic Or Post-Hoc
57;LIU2025113217;Semantic relation-aware graph attention network with noise augmented layer-wise contrastive learning for recommendation;"Liu, Jianfang; Wang, Wei; Yi, Baolin; Zhang, Huanyu; Shen, Xiaoxuan";Knowledge-Based Systems;2025;No;-;-;No;-;KG;Intrinsic
58;WU2025129780;Cross-modal feature symbiosis for personalized meta-path generation in heterogeneous networks;"Wu, Xiaotong; Qiu, Liqing; Zhao, Weidong";Neurocomputing;2025;Yes;PoC;Few Examples;No;-;KG;Intrinsic
59;AI2025129692;An explainable recommendation algorithm based on content summarization and linear attention;"Ai, Jun; Li, Haolin; Su, Zhan; Zhao, Fengyu";Neurocomputing;2025;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
60;10.1145/3269206.3271739;RippleNet: Propagating User Preferences on the Knowledge Graph for Recommender Systems;"Wang, Hongwei; Zhang, Fuzheng; Wang, Jialin; Zhao, Miao; Li, Wenjie; Xie, Xing; Guo, Minyi";ACM International Conference on Information and Knowledge Management;2018;Yes;PoC;Few Examples;No;-;KG;Intrinsic
61;10.1145/3357384.3357925;AutoInt: Automatic Feature Interaction Learning via Self-Attentive Neural Networks;"Song, Weiping; Shi, Chence; Xiao, Zhiping; Duan, Zhijian; Xu, Yewen; Zhang, Ming; Tang, Jian";ACM International Conference on Information and Knowledge Management;2019;Yes;Correlation;All dataset;No;-;KG;Intrinsic
62;10.1145/3219819.3219965;Leveraging Meta-path based Context for Top- N Recommendation with A Neural Co-Attention Model;"Hu, Binbin; Shi, Chuan; Zhao, Wayne Xin; Yu, Philip S.";Proceedings of the ACM SIGKDD Conference on Knowledge Discovery and Data Mining;2018;Yes;PoC;Few Examples;No;-;KG;Intrinsic
63;10.1145/3178876.3186070;Neural Attentional Rating Regression with Review-level Explanations;"Chen, Chong; Zhang, Min; Liu, Yiqun; Ma, Shaoping";Proceedings of the ACM Web Conference;2018;Yes;Precision/Recall;All dataset;No;-;Review;Intrinsic
64;10.1145/3308558.3313705;Unifying Knowledge Graph Learning and Recommendation: Towards a Better Understanding of User Preferences;"Cao, Yixin; Wang, Xiang; He, Xiangnan; Hu, Zikun; Chua, Tat-Seng";Proceedings of the ACM Web Conference;2019;Yes;PoC;Few Examples;No;-;KG;Intrinsic
65;10.1145/3397271.3401137;Disentangled Graph Collaborative Filtering;"Wang, Xiang; Jin, Hongye; Zhang, An; He, Xiangnan; Xu, Tong; Chua, Tat-Seng";Proceedings of the International ACM SIGIR Conference on Research and Development in Information Retrieval;2020;Yes;PoC;Few Examples;No;-;Review;Intrinsic
66;10.1145/3343031.3351034;MMGCN: Multi-modal Graph Convolution Network for Personalized Recommendation of Micro-video;"Wei, Yinwei; Wang, Xiang; Nie, Liqiang; He, Xiangnan; Hong, Richang; Chua, Tat-Seng";Proceedings of the ACM International Conference on Multimedia;2019;Yes;PoC;Few Examples;No;-;Multimodal;Intrinsic
67;10.1145/2806416.2806504;TriRank: Review-aware Explainable Recommendation by Modeling Aspects;"He, Xiangnan; Chen, Tao; Kan, Min-Yen; Chen, Xiao";ACM International Conference on Information and Knowledge Management;2015;Yes;PoC;Few Examples;No;-;Review;Intrinsic
68;10.1145/3159652.3159668;Sequential Recommendation with User Memory Networks;"Chen, Xu; Xu, Hongteng; Zhang, Yongfeng; Tang, Jiaxi; Cao, Yixin; Qin, Zheng; Zha, Hongyuan";Proceedings of the ACM International Conference on Web Search and Data Mining;2018;Yes;PoC;Few Examples;No;-;Collaborative;Intrinsic
69;10.1145/3109859.3109890;Interpretable Convolutional Neural Networks with Dual Local and Global Attention for Review Rating Prediction;"Seo, Sungyong; Huang, Jing; Yang, Hao; Liu, Yan";Proceedings of the ACM Conference on Recommender Systems;2017;Yes;PoC;Few Examples;No;-;Review;Intrinsic
70;10.1145/3331184.3331203;Reinforcement Knowledge Graph Reasoning for Explainable Recommendation;"Xian, Yikun; Fu, Zuohui; Muthukrishnan, S.; de Melo, Gerard; Zhang, Yongfeng";Proceedings of the International ACM SIGIR Conference on Research and Development in Information Retrieval;2019;Yes;PoC;Few Examples;No;-;KG;Intrinsic
71;10.1145/3442381.3450133;Learning Intents behind Interactions with Knowledge Graph for Recommendation;"Wang, Xiang; Huang, Tinglin; Wang, Dingxian; Yuan, Yancheng; Liu, Zhenguang; He, Xiangnan; Chua, Tat-Seng";Proceedings of the ACM Web Conference;2021;Yes;PoC;Few Examples;No;-;KG;Intrinsic
72;10.1145/3178876.3186145;Aspect-Aware Latent Factor Model: Rating Prediction with Ratings and Reviews;"Cheng, Zhiyong; Ding, Ying; Zhu, Lei; Kankanhalli, Mohan";Proceedings of the ACM Web Conference;2018;Yes;PoC;Few Examples;No;-;Review;Intrinsic
