Number;Identifier;Title;Author;Journal_Book;Year;Offline Explanation Acessment;Offline Explanation Metric;Number of Users;User Experiment;User Experiment Metrics;Explanation Source;Agnostic Or Post-Hoc
93;hu_liu_miao_lin_miao_2022;Aspect-guided Syntax Graph Learning for Explainable Recommendation;Hu, Yidan and Liu, Yong and Miao, Chunyan and Lin, Gongqi and Miao, Yuan;IEEE Transactions on Knowledge and Data Engineering;2022;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
94;zhan_li_li_liu_gupta_kot_2023;Towards Explainable Recommendation Via Bert-Guided Explanation Generator;Zhan, Huijing and Li, Ling and Li, Shaohua and Liu, Weide and Gupta, Manas and Kot, Alex C.;International Conference on Acoustics, Speech, and Signal Processing;2023;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
95;LI2025110542;Two-layer knowledge graph transformer network-based question and answer explainable recommendation;Ying Li and Ming Li and Jin Ding and Yixue Bai;Engineering Applications of Artificial Intelligence;2025;Yes;PoC;All dataset;No;-;KG;Intrinsic
96;XIE2021235;Attentive preference personalized recommendation with sentence-level explanations;Jin Xie and Fuxi Zhu and Xuefei Li and Sheng Huang and Shichao Liu;Neurocomputing;2021;Yes;PoC;Few Examples;No;-;Review;Intrinsic
97;balloccu_boratto_fenu_marras_2022;XRecSys: A framework for path reasoning quality in explainable recommendation;Balloccu, Giacomo and Boratto, Ludovico and Fenu, Gianni and Marras, Mirko;Software Impacts;2022;No;KG;-;No;-;KG;Post-Hoc
98;balloccu_boratto_fenu_marras_2023;Reinforcement recommendation reasoning through knowledge graphs for explanation path quality;Balloccu, Giacomo and Boratto, Ludovico and Fenu, Gianni and Marras, Mirko;Knowledge-Based Systems;2023;Yes;KG;All dataset;No;-;KG;Post-Hoc
99;WU2024111133;PESI: Personalized Explanation recommendation with Sentiment Inconsistency between ratings and reviews;Huiqiong Wu and Guibing Guo and Enneng Yang and Yudong Luo and Yabo Chu and Linying Jiang and Xingwei Wang;Knowledge-Based Systems;2024;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
100;10.1145/2766462.2767755;Image-Based Recommendations on Styles and Substitutes;McAuley, Julian and Targett, Christopher and Shi, Qinfeng and van den Hengel, Anton;ACM SIGIR Conference on Research and Development in Information Retrieval;2015;Yes;PoC;Few Examples;No;-;Multimodal;Intrinsic
101;10.1145/3340531.3411992;Generate Neural Template Explanations for Recommendation;Li, Lei and Zhang, Yongfeng and Chen, Li;ACM International Conference on Information and Knowledge Management;2020;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
102;10.1145/3292500.3330989;KGAT: Knowledge Graph Attention Network for Recommendation;Wang, Xiang and He, Xiangnan and Cao, Yixin and Liu, Meng and Chua, Tat-Seng;ACM International Conference on Information and Knowledge Management;2019;Yes;PoC;Few Examples;No;-;KG;Intrinsic
103;10.1145/3351095.3372852;Effect of confidence and explanation on accuracy and trust calibration in AI-assisted decision making;Zhang, Yunfeng and Liao, Q. Vera and Bellamy, Rachel K. E.;Conference on Fairness, Accountability, and Transparency;2020;No;-;-;Yes;A/B CTR(online);Parameters;Post-Hoc
104;10.1145/2806416.2806504;TriRank: Review-aware Explainable Recommendation by Modeling Aspects;He, Xiangnan and Chen, Tao and Kan, Min-Yen and Chen, Xiao;ACM International Conference on Information and Knowledge Management;2015;Yes;PoC;Few Examples;No;-;Review;Intrinsic
105;10.1145/3485447.3512031;Comparative Explanations of Recommendations;Yang, Aobo and Wang, Nan and Cai, Renqin and Deng, Hongbo and Wang, Hongning;ACM Web Conference;2022;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
